"","neigh","price"
"2311","Torino - 16 - Mirafiori",138
"2321","Torino - 16 - Mirafiori",74
"2331","Torino - 16 - Mirafiori",138
"2341","Torino - 16 - Mirafiori",108.75
"2351","Torino - 16 - Mirafiori",135
"2361","Torino - 16 - Mirafiori",95
"2371","Torino - 16 - Mirafiori",205
"2381","Torino - 16 - Mirafiori",89
"2391","Torino - 16 - Mirafiori",116
"2401","Torino - 16 - Mirafiori",67
"2411","Torino - 16 - Mirafiori",119
"2102","Venezia -  1 - San Polo",NA
"3101","Venezia -  1 - San Polo",748
"424","Venezia -  1 - San Polo",335
"512","Venezia -  1 - San Polo",NA
"612","Venezia -  1 - San Polo",380
"712","Venezia -  1 - San Polo",580
"812","Venezia -  1 - San Polo",520
"912","Venezia -  1 - San Polo",435
"1012","Venezia -  1 - San Polo",570
"1112","Venezia -  1 - San Polo",335
"1212","Venezia -  1 - San Polo",230
"1312","Venezia -  1 - San Polo",420
"1412","Venezia -  1 - San Polo",445
"1512","Venezia -  1 - San Polo",220
"1612","Venezia -  1 - San Polo",330
"1712","Venezia -  2 - Santa Croce",NA
"1812","Venezia -  2 - Santa Croce",400
"1912","Venezia -  2 - Santa Croce",820
